comment,label
youtube#comment,1865166,8972,72614,2258835,negative person and fraud penn,,3,2020-05-07 06:03:59+00:00,2020-05-07 06:03:59+00:00
Also wtf, this is such a shitty video, so hypocritical, negative and it makes no sense at all there's holes to point at all over this vid",1014343,4,2021-12-18 03:49:55+00:00,2021-12-18 03:53:03+00:00
Also wtf, this is such a shitty video, so hypocritical, negative and it makes no sense at all there's holes to point at all over this vid",1014343,4,2021-12-18 03:49:55+00:00,2021-12-18 03:53:03+00:00
youtube#comment,2867387,35705,20932,3388808,Wtf gross.,,0,2020-11-14 00:47:23+00:00,2020-11-14 00:47:23+00:00
youtube#comment,2380573,46179,5341,1198074,ACRYLIC AND DIP ARE THE SAME DAMN THING 🤦🏾‍♀️ Pls stop the madness wtf,,0,2025-04-02 04:02:45+00:00,2025-04-02 04:02:45+00:00
youtube#comment,225772,23924,14999,2462839,@@ro-fz1jt wtf are you talking about 😂😂😂 I don’t even know if YOU know what you’re talking about. We all heard her say ariel in the video.,3383715,3,2023-06-11 05:20:09+00:00,2023-06-11 05:20:39+00:00
youtube#comment,1071475,18090,68368,1154676,Hold up but what do i tell them when i wanna get it cuz like everyone i go to im like hey can i get the butterfly cut and these people r like im srryy WTF IS THAT?!?!?! Then i show a pic of farah fawcett cuz like ya and then theyre like ohhhh so u want layers im like ok sure and they did the layers choppyyyyyyy affffffffffff halpppp,,0,2023-08-27 04:07:19+00:00,2023-08-27 04:07:19+00:00
youtube#comment,3386519,805,18615,3359075,Wtf did I just watch 💀. I wanna kms,,0,2023-02-21 14:26:27+00:00,2023-02-21 14:26:27+00:00
youtube#comment,3624147,14492,18248,1886012,🤮🤮🤮,,0,2023-07-30 03:00:07+00:00,2023-07-30 03:00:07+00:00
youtube#comment,4699460,13676,13516,3425281,"Okay but why would you bring a little girl to such a raunchy concert!? Megan’s rapping about throwing ass and fuck niggas, wtf would go through a parents head to subject a child to that type of shit!?🤦🏽‍♀️ ofcourse she’s uncomfortable. Kylie doesn’t get points for that shit, she’s clearly a little slow.",,0,2023-05-09 16:38:24+00:00,2023-05-09 16:38:24+00:00
youtube#comment,1786059,37371,5214,1471225,"Wtf bro. I assume you going to do all this for a girl attention. However, what about when she finds out you are take longer than her to get ready. Lolll be a man",,0,2023-07-29 21:09:35+00:00,2023-07-29 21:09:35+00:00
